instanceID,instruction1_1,instruction1_2,instruction1_3,instruction1_4,instruction1_5,instruction1_6,vcs002,vcs007,vcs007_other,vcs014_100_budaka,vcs014_101_kibuku,vcs015_10001_budaka,vcs015_10002_budakatc,vcs015_10003_ikiiki,vcs015_10004_kachomo,vcs015_10005_kakule,vcs015_10006_kameruka,vcs015_10007_kamonkoli,vcs015_10008_katira,vcs015_10009_lyama,vcs015_10010_mugiti,vcs015_10011_naboa,vcs015_10012_nansanga,vcs015_10013_kaderuna,vcs015_10101_bulangira,vcs015_10102_buseta,vcs015_10103_kabweri,vcs015_10104_kadama,vcs015_10105_kagumu,vcs015_10106_kasasira,vcs015_10107_kibuku,vcs015_10108_kibukutowncouncil,vcs015_10109_kirika,vcs015_10110_tirinyi,vcs017_1000101_chali,vcs017_1000102_gadumire,vcs017_1000103_nampangala,vcs017_1000104_sapiri,vcs017_1000201_budaka,vcs017_1000202_bwase,vcs017_1000203_macholi,vcs017_1000204_nabweyo,vcs017_1000205_namengo,vcs017_1000301_ikiiki,vcs017_1000302_kadenge,vcs017_1000303_kaitangole,vcs017_1000304_kakoli,vcs017_1000305_petete,vcs017_1000401_kachomo,vcs017_1000402_kadenge,vcs017_1000403_kodiri,vcs017_1000404_kotinyangha,vcs017_1000501_kakule,vcs017_1000502_kaperi,vcs017_1000503_kasuleta,vcs017_1000504_lerya,vcs017_1000505_namusita,vcs017_1000601_bupuchai,vcs017_1000602_kameruka,vcs017_1000603_lerya,vcs017_1000604_nabugalo,vcs017_1000605_nanzala,vcs017_1000701_bunyoro,vcs017_1000702_jami,vcs017_1000703_kadimukoli,vcs017_1000704_kamonkoli,vcs017_1000705_sekulo,vcs017_1000801_kadatumi,vcs017_1000802_katira,vcs017_1000803_kavule,vcs017_1000804_kerekerene,vcs017_1000901_lyama,vcs017_1000902_nalugondo,vcs017_1000903_suni,vcs017_1000904_tademeri,vcs017_1001001_bukaligwoko,vcs017_1001002_bunamwera,vcs017_1001003_mugiti,vcs017_1001004_nasenyi,vcs017_1001005_nyanza,vcs017_1001101_bunyekero,vcs017_1001102_lupada,vcs017_1001103_naboa,vcs017_1001104_nangeye,vcs017_1001201_idudia,vcs017_1001202_idudib,vcs017_1001203_nansangaa,vcs017_1001204_nansangab,vcs017_1001301_kebula,vcs017_1001302_kiryolo,vcs017_1001303_kaderuna,vcs017_1001304_kabuna,vcs017_1001305_kaperi,vcs017_1010101_bulangira,vcs017_1010102_kakutu,vcs017_1010103_lyama,vcs017_1010104_pulaka,vcs017_1010201_buseta,vcs017_1010202_katiryocentral,vcs017_1010203_kituti,vcs017_1010204_natoto,vcs017_1010301_kabweri,vcs017_1010302_kasecha,vcs017_1010303_kenkebu,vcs017_1010304_molokachomo,vcs017_1010401_dodoi,vcs017_1010402_kadama,vcs017_1010403_nabunyere,vcs017_1010404_nandere,vcs017_1010501_goligoli,vcs017_1010502_kagumu,vcs017_1010503_nabuli,vcs017_1010504_nankokoli,vcs017_1010601_bugiri,vcs017_1010602_kapyani,vcs017_1010603_kasasira,vcs017_1010604_nankodo,vcs017_1010701_bumiza,vcs017_1010702_nalubembe,vcs017_1010801_buweberaward,vcs017_1010802_kibukuward,vcs017_1010803_kobolwaward,vcs017_1010804_namawondoward,vcs017_1010901_kajoko,vcs017_1010902_kirika,vcs017_1010903_mikombe,vcs017_1010904_nabiswa,vcs017_1011001_kalampete,vcs017_1011002_kataka,vcs017_1011003_kitantalo,vcs017_1011004_lwatama,vcs017_1011005_nanoko,vcs017_1011006_tirinyi
uuid:beb21c82-1e48-4d7d-8e9f-880235364dd9,null,null,null,null,null,null,Thu Feb 21 11:27:44 UTC 2013,other,"1505, 2301,",null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010202_Katiryo_Central,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020203_Katiryo_1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:52809f0e-bc99-4865-a11d-6426920df23c,null,null,null,null,null,null,Tue Feb 26 05:31:13 UTC 2013,1505,null,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010201_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020104_Buseta_Triangle,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:0b830d3f-a065-40ad-84a0-5dfbd2ac1e45,null,null,null,null,null,null,Tue Feb 19 13:12:43 UTC 2013,other,2301 and 2608,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010202_Katiryo_Central,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020204_Katiryo_2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:87200553-46d5-41f6-8759-a7f64a8848e3,null,null,null,null,null,null,Wed Feb 20 12:25:02 UTC 2013,2301,null,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010201_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020102_Buseta_1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:6ce6974a-de8f-4d59-8a2c-f218c8b77347,null,null,null,null,null,null,Thu Feb 21 12:43:46 UTC 2013,2301,null,null,10102_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010201_Buseta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101020101_Buseta_Central,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
uuid:baee8614-7213-4bd0-b972-8a85fe53b2a1,null,null,null,null,null,null,Mon Feb 25 20:45:20 UTC 2013,2301,null,null,10108_Kibuku_Town_Council,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1010804_Namawondo_Ward,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101080401_Namawondo_1A,null,null,null,null,null,null,null,null,null,null
uuid:13bb25e0-ae9b-4dd7-8398-0e7b88e8ffec,null,null,null,null,null,null,Thu Feb 21 05:51:42 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011006_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100602_Kujji
uuid:358f8321-6132-4ab6-a020-086554512f80,null,null,null,null,null,null,Thu Feb 21 13:38:07 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011006_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100601_Bukatikoko
uuid:e417819c-328b-430f-a197-09b07494924a,null,null,null,null,null,null,Thu Feb 21 13:52:15 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011004_Lwatama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100406_Natapala,null,null
uuid:b897024d-7bf9-4779-b94c-b642f16a9a80,null,null,null,null,null,null,Fri Feb 22 13:57:28 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011004_Lwatama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100404_Lwatama,null,null
uuid:a7413f22-8def-49f1-b40b-df0e4c6130cc,null,null,null,null,null,null,Sat Feb 23 06:42:24 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011006_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100605_Tirinyi_3
uuid:c37e3c48-0e60-4e5b-ac0b-b15bd649e21c,null,null,null,null,null,null,Sat Feb 23 07:04:35 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011004_Lwatama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100406_Natapala,null,null
uuid:2fb1a255-d36f-43f8-94f1-875c5c729ebf,null,null,null,null,null,null,Tue Feb 26 06:09:52 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011004_Lwatama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100405_Nambiri,null,null
uuid:444bacef-0dbb-4068-ab62-8566519d3162,null,null,null,null,null,null,Tue Feb 26 06:21:03 UTC 2013,1602,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011004_Lwatama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100401_Bukenye,null,null
uuid:4dcf2a52-de81-4f1e-990e-f9f6eaabfcff,null,null,null,null,null,null,Tue Feb 19 06:30:36 UTC 2013,3112,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011006_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100603_Tirinyi_1
uuid:90e65349-b06b-4163-8ff8-04813a1dcb42,null,null,null,null,null,null,Tue Feb 19 14:23:10 UTC 2013,3112,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011006_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100604_Tirinyi_2
uuid:604f93f3-088c-4f36-a71d-e10849942c5d,null,null,null,null,null,null,Wed Feb 20 12:13:07 UTC 2013,3112,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011006_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100605_Tirinyi_3
uuid:472b775a-8c44-407b-b555-31916f2f135c,null,null,null,null,null,null,Thu Feb 21 05:49:54 UTC 2013,3112,null,null,10110_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1011006_Tirinyi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,101100602_Kujji
